lang,cid,sid,topic,metric_description,metric_code,page,file_stem,sasb_category,sasb_unit_of_measure,sasb_key_terms,sasb_what_counts,pred_label,category_match,unit_match
french,ine_esg-report_fr_final,IF-EU-110a.3,Grenhouse Gas Emissions & Energy Ressource Planning,"Discussion of long- and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",IF-EU-110a.3,37,ine_esg-report_fr_final_037,Discussion and Analysis,n/a,emissions strategy|net zero|decarbonisation|renewable energy transition|coal phase-out|emissions targets|climate plan|IRP integrated resource plan,"Qualitative discussion of: GHG reduction strategy (coal retirement, renewable build-out, efficiency, CCS), short- and long-term targets (absolute and/or intensity-based), timeline, and performance against stated targets.",,,
french,ine_esg-report_fr_final,IF-EU-140a.1,Water Management,"(1) Total water withdrawn, (2) total water consumed; percentage of each in regions with High or Extremely High Baseline Water Stress",IF-EU-140a.1,43,ine_esg-report_fr_final_043,Quantitative,Thousand cubic metres (m³)|Percentage (%),water withdrawal|water consumption|water stress|cooling water|thermoelectric|water intensity|WRI Aqueduct,Two paired values: (1) total water withdrawn in thousand m³ + percentage from High/Extremely High Baseline Water Stress regions; (2) total water consumed + same percentage. Thermoelectric power plants are large water users for cooling.,,,
french,ine_esg-report_fr_final,IF-EU-140a.1,Water Management,"Number of incidents of non-compliance associated with water quality permits, standards and regulations",IF-EU-140a.1,43,ine_esg-report_fr_final_043,Quantitative,Thousand cubic metres (m³)|Percentage (%),water withdrawal|water consumption|water stress|cooling water|thermoelectric|water intensity|WRI Aqueduct,Two paired values: (1) total water withdrawn in thousand m³ + percentage from High/Extremely High Baseline Water Stress regions; (2) total water consumed + same percentage. Thermoelectric power plants are large water users for cooling.,,,
french,remy_cointreau_rapport_rse_2023,FB-AB-430a.1,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,5,remy_cointreau_rapport_rse_2023_005,Quantitative,Percentage (%),supplier audit|non-conformance|corrective action|supply chain|social responsibility|environmental audit|ingredient sourcing|supplier compliance,"Two rates from supplier social and environmental audits: (1) percentage of audited suppliers with non-conformances; (2) percentage of non-conformances with corrective action plans implemented. Scope: ingredient suppliers (grains, grapes, hops, sugarcane, etc.).",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-440a.2,Ingredient Sourcing,List of priority beverage ingredients and discussion of sourcing risks related to environmental and social considerations,FB-AB-440a.2,5,remy_cointreau_rapport_rse_2023_005,Discussion and Analysis,n/a,ingredient sourcing|priority ingredients|barley|hops|grapes|sugarcane|agave|water|sourcing risk|agricultural risk|climate risk,"Qualitative description: (1) list of priority beverage ingredients (barley, grapes, hops, sugarcane, agave, etc.); (2) environmental risks (water, climate change, soil degradation, biodiversity); (3) social risks (labour practices, community impacts); (4) mitigation strategies and responsible sourcing programs.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-270a.4,Responsible Drinking & Marketing,Description of efforts to promote responsible consumption of alcohol,FB-AB-270a.4,8,remy_cointreau_rapport_rse_2023_008,Discussion and Analysis,n/a,responsible drinking|alcohol responsibility|drunk driving|underage drinking|marketing standards|alcohol awareness|consumer education|responsible marketing,"Qualitative description of: programs and initiatives to promote responsible alcohol consumption including consumer education campaigns, drunk driving prevention, underage drinking prevention, marketing standards compliance, and industry collaboration on responsibility programs.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-130a.1,Energy Management,"(1) Total energy consumed, (2) percentage grid electricity and (3) percentage renewable",FB-AB-130a.1,9,remy_cointreau_rapport_rse_2023_009,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|energy management|brewery energy|distillery energy|energy intensity,"Three values: (1) total energy consumed across all manufacturing operations in GJ; (2) percentage that is grid electricity; (3) percentage from renewable sources (wind, solar, biomass, hydro, certified RECs). Scope: owned and operated production facilities.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-140a.2,Water Management,Description of water management risks and discussion of strategies and practices to mitigate those risks,FB-AB-140a.2,9,remy_cointreau_rapport_rse_2023_009,Discussion and Analysis,n/a,water management|water risk|water stress|water efficiency|wastewater|water recycling|brewery water|water stewardship,"Qualitative description of: water-related risks facing operations (physical scarcity, regulatory, reputational), geographic concentration of risk, mitigation strategies (efficiency improvements, recycling, alternative sourcing, watershed stewardship), and targets for water reduction.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-410a.1,Packaging Lifecycle Management,"(1) Total weight of packaging, (2) percentage made from recycled or renewable materials, and (3) percentage that is recyclable, reusable, or compostable",FB-AB-410a.1,9,remy_cointreau_rapport_rse_2023_009,Quantitative,Metric tons (t)|Percentage (%),packaging weight|recycled content|recyclable|renewable materials|glass recycling|aluminium recycling|packaging sustainability|circular packaging,"Three values: (1) total packaging weight in metric tons (glass, aluminium, plastic, cardboard); (2) percentage made from recycled or renewable materials; (3) percentage that is recyclable, reusable, or compostable. Primary, secondary, and tertiary packaging.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-430a.1,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,7,remy_cointreau_rapport_rse_2023_007,Quantitative,Percentage (%),supplier audit|non-conformance|corrective action|supply chain|social responsibility|environmental audit|ingredient sourcing|supplier compliance,"Two rates from supplier social and environmental audits: (1) percentage of audited suppliers with non-conformances; (2) percentage of non-conformances with corrective action plans implemented. Scope: ingredient suppliers (grains, grapes, hops, sugarcane, etc.).",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-140a.2,Water Management,Description of water management risks and discussion of strategies and practices to mitigate those risks,FB-AB-140a.2,5,remy_cointreau_rapport_rse_2023_005,Discussion and Analysis,n/a,water management|water risk|water stress|water efficiency|wastewater|water recycling|brewery water|water stewardship,"Qualitative description of: water-related risks facing operations (physical scarcity, regulatory, reputational), geographic concentration of risk, mitigation strategies (efficiency improvements, recycling, alternative sourcing, watershed stewardship), and targets for water reduction.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-410a.1,Packaging Lifecycle Management,"(1) Total weight of packaging, (2) percentage made from recycled or renewable materials, and (3) percentage that is recyclable, reusable, or compostable",FB-AB-410a.1,5,remy_cointreau_rapport_rse_2023_005,Quantitative,Metric tons (t)|Percentage (%),packaging weight|recycled content|recyclable|renewable materials|glass recycling|aluminium recycling|packaging sustainability|circular packaging,"Three values: (1) total packaging weight in metric tons (glass, aluminium, plastic, cardboard); (2) percentage made from recycled or renewable materials; (3) percentage that is recyclable, reusable, or compostable. Primary, secondary, and tertiary packaging.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-410a.2,Packaging Lifecycle Management,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle,FB-AB-410a.2,5,remy_cointreau_rapport_rse_2023_005,Discussion and Analysis,n/a,packaging strategy|packaging reduction|lightweighting|recycled content|recyclability|deposit return scheme|refillable|plastic reduction,"Qualitative description of packaging sustainability strategies including: lightweighting, recycled content increases, recyclability design, shift to refillable/reusable containers, deposit return schemes, collaboration with recyclers, and reduction targets and progress.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-130a.1,Energy Management,"(1) Total energy consumed, (2) percentage grid electricity and (3) percentage renewable",FB-AB-130a.1,5,remy_cointreau_rapport_rse_2023_005,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|energy management|brewery energy|distillery energy|energy intensity,"Three values: (1) total energy consumed across all manufacturing operations in GJ; (2) percentage that is grid electricity; (3) percentage from renewable sources (wind, solar, biomass, hydro, certified RECs). Scope: owned and operated production facilities.",,,
french,remy_cointreau_rapport_rse_2023,FB-AB-270a.4,Responsible Drinking & Marketing,Description of efforts to promote responsible consumption of alcohol,FB-AB-270a.4,9,remy_cointreau_rapport_rse_2023_009,Discussion and Analysis,n/a,responsible drinking|alcohol responsibility|drunk driving|underage drinking|marketing standards|alcohol awareness|consumer education|responsible marketing,"Qualitative description of: programs and initiatives to promote responsible alcohol consumption including consumer education campaigns, drunk driving prevention, underage drinking prevention, marketing standards compliance, and industry collaboration on responsibility programs.",,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-250a.3,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,24,guerlain_rapport_developpement_durable_2022-2023_024,Discussion and Analysis,n/a,emerging chemicals|chemicals of concern|ingredient safety|safety assessment|precautionary principle|ingredient transparency|reformulation|chemical substitution,"Qualitative description of: process to proactively identify emerging materials and chemicals of concern (beyond current regulation), safety assessment frameworks used, reformulation or substitution programs, ingredient transparency commitments, and stakeholder engagement on chemical safety.",,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-410a.1,Packaging Lifecycle Management,"Total weight of packaging, percentage made from recycled and/or renewable materials",CG-HP-410a.1,27,guerlain_rapport_developpement_durable_2022-2023_027,Quantitative,Metric tons (t)|Percentage (%),packaging weight|recycled content|recyclable packaging|renewable materials|compostable|reusable packaging|sustainable packaging|packaging reduction,"Three values: (1) total weight of packaging used in metric tons; (2) percentage made from recycled and/or renewable materials; (3) percentage that is recyclable, reusable, and/or compostable. Scope: primary, secondary, and tertiary packaging.",,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-410a.2,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,27,guerlain_rapport_developpement_durable_2022-2023_027,Discussion and Analysis,n/a,packaging strategy|packaging reduction|recycled content|recyclability|packaging design|circular economy|plastic reduction|extended producer responsibility,"Qualitative description of: strategies to reduce packaging environmental impact (weight reduction, material substitution, recyclability design, recycled content increase, reuse/refill systems), targets and progress, take-back or EPR programs, and engagement with recycling infrastructure.",,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-250a.3,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,27,guerlain_rapport_developpement_durable_2022-2023_027,Discussion and Analysis,n/a,emerging chemicals|chemicals of concern|ingredient safety|safety assessment|precautionary principle|ingredient transparency|reformulation|chemical substitution,"Qualitative description of: process to proactively identify emerging materials and chemicals of concern (beyond current regulation), safety assessment frameworks used, reformulation or substitution programs, ingredient transparency commitments, and stakeholder engagement on chemical safety.",,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-140a.1,Water Management,"Total water withdrawn, total water consumed, percentage of each in regions with High Baseline Water Stress",CG-HP-140a.1,53,guerlain_rapport_developpement_durable_2022-2023_053,Quantitative,Thousand cubic metres (m³)|Percentage (%),water withdrawal|water consumption|water stress|WRI Aqueduct|water scarcity|manufacturing water|water efficiency,Two paired values: (1) total water withdrawn from all sources in thousand m³ + percentage from High/Extremely High Baseline Water Stress regions; (2) total water consumed (withdrawn minus discharged) + same percentage breakdown. Scope: all manufacturing and owned operations.,,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-250a.3,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,25,guerlain_rapport_developpement_durable_2022-2023_025,Discussion and Analysis,n/a,emerging chemicals|chemicals of concern|ingredient safety|safety assessment|precautionary principle|ingredient transparency|reformulation|chemical substitution,"Qualitative description of: process to proactively identify emerging materials and chemicals of concern (beyond current regulation), safety assessment frameworks used, reformulation or substitution programs, ingredient transparency commitments, and stakeholder engagement on chemical safety.",,,
french,guerlain_rapport_developpement_durable_2022-2023,CG-HP-140a.1,Water Management,"Total water withdrawn, total water consumed, percentage of each in regions with High Baseline Water Stress",CG-HP-140a.1,54,guerlain_rapport_developpement_durable_2022-2023_054,Quantitative,Thousand cubic metres (m³)|Percentage (%),water withdrawal|water consumption|water stress|WRI Aqueduct|water scarcity|manufacturing water|water efficiency,Two paired values: (1) total water withdrawn from all sources in thousand m³ + percentage from High/Extremely High Baseline Water Stress regions; (2) total water consumed (withdrawn minus discharged) + same percentage breakdown. Scope: all manufacturing and owned operations.,,,
french,extrait-rse-filieres-dapprovisionnement,CG-AA-430b.3,Labour Conditions in the Supply Chain,"Description of the greatest (1) labour and (2) environmental, health and safety risks in the supply chain",CG-AA-430b.3,3,extrait-rse-filieres-dapprovisionnement_003,Discussion and Analysis,n/a,supply chain risks|labour risks|health and safety|forced labour|child labour|working conditions|environmental risk|supplier risk,"Qualitative description of the most material labour risks (e.g. forced labour, child labour, excessive hours, wage theft, freedom of association) and environmental/health & safety risks in the supply chain, including geographic concentration and mitigation strategies.",,,
french,extrait-rse-filieres-dapprovisionnement,CG-AA-430b.3,Labour Conditions in the Supply Chain,"Description of the greatest (1) labour and (2) environmental, health and safety risks in the supply chain",CG-AA-430b.3,4,extrait-rse-filieres-dapprovisionnement_004,Discussion and Analysis,n/a,supply chain risks|labour risks|health and safety|forced labour|child labour|working conditions|environmental risk|supplier risk,"Qualitative description of the most material labour risks (e.g. forced labour, child labour, excessive hours, wage theft, freedom of association) and environmental/health & safety risks in the supply chain, including geographic concentration and mitigation strategies.",,,
french,extrait-rse-filieres-dapprovisionnement,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,7,extrait-rse-filieres-dapprovisionnement_007,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
french,extrait-rse-filieres-dapprovisionnement,CG-AA-430b.3,Labour Conditions in the Supply Chain,"Description of the greatest (1) labour and (2) environmental, health and safety risks in the supply chain",CG-AA-430b.3,8,extrait-rse-filieres-dapprovisionnement_008,Discussion and Analysis,n/a,supply chain risks|labour risks|health and safety|forced labour|child labour|working conditions|environmental risk|supplier risk,"Qualitative description of the most material labour risks (e.g. forced labour, child labour, excessive hours, wage theft, freedom of association) and environmental/health & safety risks in the supply chain, including geographic concentration and mitigation strategies.",,,
french,extrait-rse-filieres-dapprovisionnement,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,8,extrait-rse-filieres-dapprovisionnement_008,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
french,extrait-rse-filieres-dapprovisionnement,CG-AA-440a.4,Raw Materials Sourcing,"(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",CG-AA-440a.4,4,extrait-rse-filieres-dapprovisionnement_004,Quantitative,Metric tons (t)|Percentage (%),raw materials|certified materials|organic cotton|BCI|FSC leather|RDS down|RWS wool|sustainable sourcing|certification,"Two values per priority material: (1) total quantity purchased (metric tons); (2) quantity or percentage certified to a sustainability standard (e.g. organic cotton, BCI cotton, RDS down, RWS wool, Leather Working Group). Report by material and by certification standard.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.1,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Amount of assets under management, by asset class, that employ (1) integration of environmental, social, and governance (ESG) issues, (2) sustainability themed investing and (3) screening",FN-AC-410a.1,3,20230630_rapportesg2022_coveafinance_vf_003,Quantitative,Presentation currency|Percentage (%),ESG integration|AUM|assets under management|sustainable investing|ESG screening|negative screening|positive screening|thematic investing|SRI,"AUM (in presentation currency) by asset class employing each ESG approach: (1) ESG integration (systematic incorporation of ESG factors in analysis); (2) sustainability themed (explicitly targeting ESG outcomes); (3) screening (positive or negative exclusion). Report by asset class (equity, fixed income, alternatives, etc.).",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,3,20230630_rapportesg2022_coveafinance_vf_003,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.3,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory",Description of proxy voting and investee engagement policies and procedures,FN-AC-410a.3,3,20230630_rapportesg2022_coveafinance_vf_003,Discussion and Analysis,n/a,proxy voting|shareholder engagement|stewardship|investee engagement|voting policy|AGM|ESG engagement|active ownership|stewardship code,"Qualitative description of: proxy voting policy (key principles, ESG-related voting priorities), investee engagement approach (direct engagement, collaborative engagement), escalation procedures, and reporting on voting and engagement activities. Includes alignment with stewardship codes.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,6,20230630_rapportesg2022_coveafinance_vf_006,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,8,20230630_rapportesg2022_coveafinance_vf_008,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,10,20230630_rapportesg2022_coveafinance_vf_010,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.3,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory",Description of proxy voting and investee engagement policies and procedures,FN-AC-410a.3,11,20230630_rapportesg2022_coveafinance_vf_011,Discussion and Analysis,n/a,proxy voting|shareholder engagement|stewardship|investee engagement|voting policy|AGM|ESG engagement|active ownership|stewardship code,"Qualitative description of: proxy voting policy (key principles, ESG-related voting priorities), investee engagement approach (direct engagement, collaborative engagement), escalation procedures, and reporting on voting and engagement activities. Includes alignment with stewardship codes.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410b.1,Financed Emissions,"Absolute gross financed emissions, disaggregated by (1) Scope 1, (2) Scope 2 and (3) Scope 3",FN-AC-410b.1,16,20230630_rapportesg2022_coveafinance_vf_016,Quantitative,Metric tons (t) CO2-e,financed emissions|Scope 1|Scope 2|Scope 3|portfolio emissions|PCAF|carbon footprint|climate alignment|net zero,"Absolute financed GHG emissions in metric tons CO2-equivalent, disaggregated by Scope 1, Scope 2, and Scope 3, and by asset class (listed equity, corporate bonds, real estate, project finance, etc.). Calculated using PCAF methodology or equivalent.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,17,20230630_rapportesg2022_coveafinance_vf_017,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.1,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Amount of assets under management, by asset class, that employ (1) integration of environmental, social, and governance (ESG) issues, (2) sustainability themed investing and (3) screening",FN-AC-410a.1,4,20230630_rapportesg2022_coveafinance_vf_004,Quantitative,Presentation currency|Percentage (%),ESG integration|AUM|assets under management|sustainable investing|ESG screening|negative screening|positive screening|thematic investing|SRI,"AUM (in presentation currency) by asset class employing each ESG approach: (1) ESG integration (systematic incorporation of ESG factors in analysis); (2) sustainability themed (explicitly targeting ESG outcomes); (3) screening (positive or negative exclusion). Report by asset class (equity, fixed income, alternatives, etc.).",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,4,20230630_rapportesg2022_coveafinance_vf_004,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410a.3,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory",Description of proxy voting and investee engagement policies and procedures,FN-AC-410a.3,4,20230630_rapportesg2022_coveafinance_vf_004,Discussion and Analysis,n/a,proxy voting|shareholder engagement|stewardship|investee engagement|voting policy|AGM|ESG engagement|active ownership|stewardship code,"Qualitative description of: proxy voting policy (key principles, ESG-related voting priorities), investee engagement approach (direct engagement, collaborative engagement), escalation procedures, and reporting on voting and engagement activities. Includes alignment with stewardship codes.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-330a.1,Employee Diversity & Inclusion,"Percentage of (1) gender and (2) diversity group representation for (a) executive management, (b) non-executive management, (c) professionals, and (d) all other employees 3",FN-AC-330a.1,10,20230630_rapportesg2022_coveafinance_vf_010,Quantitative,Percentage (%),gender diversity|diversity representation|executive management|non-executive management|inclusion|women in leadership|ethnic diversity,Percentage representation disaggregated by: (1) gender and (2) racial/ethnic diversity group; and by management level: (a) executive/senior management and (b) non-executive management. Financial services sector has historically faced diversity challenges.,,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410b.4,Financed Emissions,Description of the methodology used to calculate financed emissions,FN-AC-410b.4,16,20230630_rapportesg2022_coveafinance_vf_016,Discussion and Analysis,n/a,financed emissions methodology|PCAF|attribution factor|data sources|estimation|emission factors|portfolio carbon accounting,"Qualitative description of: methodology used to calculate financed emissions (e.g. PCAF standard), attribution factors applied, data sources for emissions and financial data, estimation approaches for data gaps, and any deviations from standard methodology.",,,
french,20230630_rapportesg2022_coveafinance_vf,FN-AC-410b.1,Financed Emissions,"Absolute gross financed emissions, disaggregated by (1) Scope 1, (2) Scope 2 and (3) Scope 3",FN-AC-410b.1,17,20230630_rapportesg2022_coveafinance_vf_017,Quantitative,Metric tons (t) CO2-e,financed emissions|Scope 1|Scope 2|Scope 3|portfolio emissions|PCAF|carbon footprint|climate alignment|net zero,"Absolute financed GHG emissions in metric tons CO2-equivalent, disaggregated by Scope 1, Scope 2, and Scope 3, and by asset class (listed equity, corporate bonds, real estate, project finance, etc.). Calculated using PCAF methodology or equivalent.",,,
french,rapport-esg-gam,FN-AC-410a.1,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Amount of assets under management, by asset class, that employ (1) integration of environmental, social, and governance (ESG) issues, (2) sustainability themed investing and (3) screening",FN-AC-410a.1,3,rapport-esg-gam_003,Quantitative,Presentation currency|Percentage (%),ESG integration|AUM|assets under management|sustainable investing|ESG screening|negative screening|positive screening|thematic investing|SRI,"AUM (in presentation currency) by asset class employing each ESG approach: (1) ESG integration (systematic incorporation of ESG factors in analysis); (2) sustainability themed (explicitly targeting ESG outcomes); (3) screening (positive or negative exclusion). Report by asset class (equity, fixed income, alternatives, etc.).",,,
french,rapport-esg-gam,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,16,rapport-esg-gam_016,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,rapport-esg-gam,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,22,rapport-esg-gam_022,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,rapport-esg-gam,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,27,rapport-esg-gam_027,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
french,rapport-esg-gam,FN-AC-410a.3,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory",Description of proxy voting and investee engagement policies and procedures,FN-AC-410a.3,28,rapport-esg-gam_028,Discussion and Analysis,n/a,proxy voting|shareholder engagement|stewardship|investee engagement|voting policy|AGM|ESG engagement|active ownership|stewardship code,"Qualitative description of: proxy voting policy (key principles, ESG-related voting priorities), investee engagement approach (direct engagement, collaborative engagement), escalation procedures, and reporting on voting and engagement activities. Includes alignment with stewardship codes.",,,
french,rapport-esg-gam,FN-AC-410a.2,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory","Description of approach to incorporation of environmental, social and governance (ESG) factors in investment or wealth management processes and strategies",FN-AC-410a.2,28,rapport-esg-gam_028,Discussion and Analysis,n/a,ESG integration|investment process|ESG factors|materiality|ESG research|sustainable finance|responsible investment|UNPRI,"Qualitative description of: ESG integration methodology across investment processes, ESG data sources used, materiality assessment, engagement with investees on ESG, exclusion policies, alignment with frameworks (UNPRI, TCFD, SFDR), and governance of ESG integration.",,,
